"location_actividad","tags_categorias_actividades","name_actividad"
"-90.98727,-0.957861","Monumentos y lugares de interes,Atracciones y lugares de interes","The Wall of Tears"
",","Teatro y espectaculos,Conciertos y espectaculos","La Gallera Teatro"
",","Tiendas especializadas y de regalos,Compras","Pacha Chocolates"
"-78.479195,-0.199828","Spas y centros de bienestar","Neo Apolo Spa"
",","Zoologicos y acuarios,Naturaleza y parques,Actividades al aire libre","Zoologico la isla del Tapir"
"-78.411804,-0.066541","Centros de juego y entretenimiento,Diversion y juegos","Cyber Game Cafe"
"-78.49112,-0.201893","Mas opciones gastronomicas,Comida y bebida","Fragola Fussion"
",","Taxis y otros servicios de traslado,Transporte","Parqueadero VIP"
",","Transporte en autobus,Transporte","Turi Bus"
",","Parques acuaticos y de diversiones","Balneario Pisagua"
",","Bibliotecas,Recursos para viajeros","The English Library"
"-78.49107,-0.202745","Monumentos y lugares de interes,Atracciones y lugares de interes","Plaza Foch"
"-80.81207,-1.556219","Tours de naturaleza y vida silvestre,Avistamiento de delfines y ballenas,Tours,Tours en barco y deportes acuaticos,Actividades al aire libre","Puerto López"
",","Tours turisticos,Tours","Manta SOS Guide - Day Tours"
"-80.99697,-2.203453","Mas actividades al aire libre,Actividades al aire libre","La Chocolatera"
",","Playas,Naturaleza y parques,Actividades al aire libre","Playa de Chipipe"
"-89.42967,-0.926544","Playas,Naturaleza y parques,Actividades al aire libre","Puerto Chino Beach"
"-90.22209,-0.694792","Parques,Playas,Naturaleza y parques,Actividades al aire libre","El Garrapatero"
"-89.6125,-0.926667","Playas,Actividades al aire libre,Naturaleza y parques","Las Loberias"
"-78.84679,-1.474156","Rutas para ciclismo,Naturaleza y parques,Actividades al aire libre","Pro Bici"
"-78.29676,-1.401917","Rutas para ciclismo,Cascadas,Naturaleza y parques,Actividades al aire libre","Ruta de las cascadas"
"-80.79242,-1.4942","Playas,Naturaleza y parques,Actividades al aire libre","Playa de los Frailes"
"-90.339554,-0.763917","Playas,Naturaleza y parques,Actividades al aire libre","Galapagos Beach at Tortuga Bay"
"-90.43181,-0.669198","Tours de naturaleza y vida silvestre,Tours,Actividades al aire libre","Isla Santa Cruz"
"-78.42118,-1.398475","Tours en bicicleta,Tours turisticos,Tours,Actividades al aire libre","mts adventure"
"-78.84739,-2.200975","Ferrocarriles turisticos,Tours de ferrocarriles,Tours","La Nariz del Diablo"
"-78.473305,-0.159375","Tours turisticos,Tours","Metropolitan Touring"
"-78.51253,-0.219728","Tours por la ciudad,Tours culturales,Tours,Actividades al aire libre","EQ Touring Company - Day Tours"
"-78.51102,-0.219704","Tours privados,Tours de naturaleza y vida silvestre,Tours,Actividades al aire libre","Ecuatraveling - Day Tours"
"-78.491554,-0.197733","Alquileres de equipos,Tours en motocicleta,Tours,Actividades al aire libre","Ecuador Freedom Bike Rental - Day Tours"
"-78.47929,-0.201002","Tours de naturaleza y vida silvestre,Tours a caballo,Actividades al aire libre,Tours","Ecua Horse Rides"
",","Tours turisticos,Tours","Let's Go to Ecuador Day Tours"
",","Tours historicos,Tours","Quito Historical Old Town Tour"
"-78.48184,-0.176888","Tours en autobus,Tours con paradas,Tours","Quito Tour Bus"
"-90.32122,-0.739325","Tours privados,Tours de naturaleza y vida silvestre,Tours,Actividades al aire libre","Guiding Galapagos Expeditions"
"-78.77483,-0.06385","Tirolesa y parques de aventuras aereas,Tours de naturaleza y vida silvestre,Actividades al aire libre,Tours","Mindo Canopy Adventure"
"-78.47713,-0.183832","Tours privados,Tours","Happy Gringo Travel - Day Tours"
"-79.87633,-2.184906","Tours turisticos,Tours","My trip to Ecuador - Day Tours"
"-78.488144,-0.199503","Montanas,Tours en bicicleta,Actividades al aire libre,Naturaleza y parques,Tours","Biking Dutchman"
"-78.51452,-0.224039","Tours a pie,Tours","Free Walking Tour Ecuador"
"-76.24776,-0.03925","Tours en bicicleta,Tours de naturaleza y vida silvestre,Actividades al aire libre,Tours","CarpeDM Adventures - Day Tours"
",","Buceo y esnorquel,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","Los Mantas Dive Center"
"-77.81416,-0.994358","Practica de kayak y canotaje,Rafting y nado con salvavidas en el rio,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","Raft Amazonia"
"-78.42206,-1.397855","Tours para practicar rapel y barranquismo,Tours privados,Actividades al aire libre,Tours en barco y deportes acuaticos,Tours","Marberktour"
"-90.31096,-0.742567","Buceo y esnorquel,Tours,Actividades al aire libre,Tours en barco y deportes acuaticos","Dive Center Silberstein"
"-90.31343,-0.746076","Buceo y esnorquel,Deportes acuaticos,Tours,Tours en barco y deportes acuaticos,Actividades al aire libre","Eagleray Tours"
